Region,Source,ZoneSubzone,SS_NoSpace,SiteSeriesName,Standard,StockingTarget,StockingMINpa,StockingMINp,StockingDelay,AssessmentEarliest,AssessmentLatest
Pr Rupert,Pr Rupert,ICHmc2,ICHmc2/54,$SxEp - Devil's club,85140,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,ICHvc,ICHvc/52,$Mountain alder - Lady fern,85148,400,200,200,3,8,11
Pr Rupert,Pr Rupert,ICHvc,ICHvc/06,Sx - Horsetail,85146,1000,500,400,4,9,15
Pr Rupert,Pr Rupert,ICHvc,ICHvc/51,$Sitka alder - Devil's club,85147,1000,500,400,3,8,11
Pr Rupert,Pr Rupert,ICHvc,ICHvc/01,HwBl - Devil's club,85141,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,ICHvc,ICHvc/02,Hw - Step moss,85142,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,ICHvc,ICHvc/03,Sx - Devil's club,85143,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,ICHvc,ICHvc/04,Sx - Devil's club - Dogwood,85144,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,ICHvc,ICHvc/05,ActSx - Dogwood,85145,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,ICHwc,ICHwc/52,$Mountain alder - Lady fern,85158,400,200,200,3,8,11
Pr Rupert,Pr Rupert,ICHwc,ICHwc/02,HwPl - Feathermoss - Cladonia,85150,1000,500,400,7,12,15
Pr Rupert,Pr Rupert,ICHwc,ICHwc/07,HwSx - Blueberry - Sphagnum,85155,1000,500,400,4,9,15
Pr Rupert,Pr Rupert,ICHwc,ICHwc/08,Sx - Horsetail,85156,1000,500,400,4,9,15
Pr Rupert,Pr Rupert,ICHwc,ICHwc/51,$Sitka alder - Devil's club,85157,1000,500,400,4,9,15
Pr Rupert,Pr Rupert,ICHwc,ICHwc/01,HwBl - Oak fern,85149,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,ICHwc,ICHwc/03,Hw - Step moss,85151,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,ICHwc,ICHwc/04,HwBl - Devil's club,85152,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,ICHwc,ICHwc/05,Sx - Devil's club,85153,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,ICHwc,ICHwc/06,ActSx - Dogwood,85154,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,MHmm1,MHmm1/08,HmYc - Sphagnum,85166,400,200,200,4,12,20
Pr Rupert,Pr Rupert,MHmm1,MHmm1/02,HmBa - Mountain-heather,85160,800,400,400,4,12,20
Pr Rupert,Pr Rupert,MHmm1,MHmm1/09,YcHm - Skunk cabbage,85167,800,400,400,4,12,20
Pr Rupert,Pr Rupert,MHmm1,MHmm1/6,HmYc - Deer-cabbage,85164,800,400,400,7,15,20
Pr Rupert,Pr Rupert,MHmm1,MHmm1/01,HmBa - Blueberry,85159,900,500,400,7,15,20
Pr Rupert,Pr Rupert,MHmm1,MHmm1/03,BaHm - Oak fern,85161,900,500,400,4,12,20
Pr Rupert,Pr Rupert,MHmm1,MHmm1/04,HmBa - Bramble,85162,900,500,400,7,15,20
Pr Rupert,Pr Rupert,MHmm1,MHmm1/05,BaHm - Twistedstalk,85163,900,500,400,4,12,20
Pr Rupert,Pr Rupert,MHmm1,MHmm1/7,YcHm - Hellebore,85165,900,500,400,4,12,20
Pr Rupert,Pr Rupert,MHmm2,MHmm2/08,HmYc - Sphagnum,85175,400,200,200,4,12,20
Pr Rupert,Pr Rupert,MHmm2,MHmm2/02,HmBa - Mountain-heather,85169,800,400,400,4,12,20
Pr Rupert,Pr Rupert,MHmm2,MHmm2/06,HmYc - Deer-cabbage,85173,800,400,400,7,15,20
Pr Rupert,Pr Rupert,MHmm2,MHmm2/09,YcHm - Skunk cabbage,85176,800,400,400,4,12,20
Pr Rupert,Pr Rupert,MHmm2,MHmm2/01,HmBa - Blueberry,85168,900,500,400,7,15,20
Pr Rupert,Pr Rupert,MHmm2,MHmm2/03,BaHm - Oak fern,85170,900,500,400,4,12,20
Pr Rupert,Pr Rupert,MHmm2,MHmm2/04,HmBa - Bramble,85171,900,500,400,7,15,20
Pr Rupert,Pr Rupert,MHmm2,MHmm2/05,BaHm - Twistedstalk,85172,900,500,400,4,12,20
Pr Rupert,Pr Rupert,MHmm2,MHmm2/07,YcHm - Hellebore,85174,900,500,400,4,12,20
Pr Rupert,Pr Rupert,MHwh1,MHwh1/02,HmYc - Mountain-heather,85178,400,200,200,4,12,20
Pr Rupert,Pr Rupert,MHwh1,MHwh1/08,HmYc - Sphagnum,85184,400,200,200,4,12,20
Pr Rupert,Pr Rupert,MHwh1,MHwh1/06,HmYc - Deer-cabbage,85182,800,400,400,7,15,20
Pr Rupert,Pr Rupert,MHwh1,MHwh1/09,YcHm - Skunk cabbage,85185,800,500,400,4,12,20
Pr Rupert,Pr Rupert,MHwh1,MHwh1/01,HmSs - Blueberry,85177,900,500,400,7,15,20
Pr Rupert,Pr Rupert,MHwh1,MHwh1/03,SsHm - Reedgrass,85179,900,500,400,7,15,20
Pr Rupert,Pr Rupert,MHwh1,MHwh1/04,HmYc - Goldthread,85180,900,500,400,7,15,20
Pr Rupert,Pr Rupert,MHwh1,MHwh1/05,YcHm - Twistedstalk,85181,900,500,400,4,12,20
Pr Rupert,Pr Rupert,MHwh1,MHwh1/07,YcHm - Hellebore,85183,900,500,400,4,12,20
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/10,Pl - Sphagnum,85056,400,200,200,3,8,11
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/12,SbSxw - Scrub birch - Sedge,85212,400,200,200,4,9,15
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/13,Pl - Sphagnum,85047,400,200,200,3,8,11
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/09,CwYc - Goldthread,85055,800,400,400,3,8,11
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/11,CwYc - Skunk cabbage,85057,800,400,400,3,8,11
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/12,CwYc - Goldthread,85046,800,400,400,3,8,11
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/14,CwSs - Skunk cabbage,85048,800,400,400,3,8,11
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/05,BaCw - Foamflower,85052,900,500,400,3,8,11
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/06,HwBa - Deer fern,85053,900,500,400,6,11,14
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/08,BaSs - Devil's club,85043,900,500,400,3,8,11
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/08,BaSs - Devil's club,85054,900,500,400,3,8,11
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/09,Ss - Salmonberry,85044,900,500,400,3,8,11
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/10,Act - Red-osier dogwood,85045,900,500,400,3,8,11
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/07,Sxw - Scrub birch - Feathermoss,85208,1000,500,400,4,9,15
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/10,Sxw - Horsetail,85211,1000,500,400,4,9,15
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/11,Sxw - Horsetail - Glow moss,999,1000,500,400,4,9,15
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/05,Sxw - Twinberry - Coltsfoot,85206,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/06,Sxw - Oak fern,85207,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/08,Sxw - Twinberry - Oak fern,85209,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,Not in RPR,Not in RPR/09,Sxw - Devil's club,85210,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,SBPSmc,SBPSmc/07,SbSxw - Scrub birch - Sedge,85192,400,200,200,4,9,15
Pr Rupert,Pr Rupert,SBPSmc,SBPSmc/02,Pl - Kinnikinnick - Cladonia,85187,1000,500,400,7,12,15
Pr Rupert,Pr Rupert,SBPSmc,SBPSmc/04,Sxw - Scrub birch - Feathermoss,85189,1000,500,400,4,9,15
Pr Rupert,Pr Rupert,SBPSmc,SBPSmc/05,Sxw - Horsetail,85190,1000,500,400,4,9,15
Pr Rupert,Pr Rupert,SBPSmc,SBPSmc/06,Sxw - Horsetail - Glow moss,85191,1000,500,400,4,9,15
Pr Rupert,Pr Rupert,SBPSmc,SBPSmc/01,Pl - Feathermoss - Cladina,85186,1200,700,600,7,12,15
Pr Rupert,Pr Rupert,SBPSmc,SBPSmc/03,SbPl - Feathermoss,85188,1200,700,600,7,12,15
Pr Rupert,Pr Rupert,SBSdk,SBSdk/09,Sb - Creeping-snowberry - Sphagnum,85201,400,200,200,4,9,15
Pr Rupert,Pr Rupert,SBSdk,SBSdk/10,Sb - Soft-leaved sedge - Sphagnum,85202,400,200,200,4,9,15
Pr Rupert,Pr Rupert,SBSdk,SBSdk/02,Pl - Juniper - Ricegrass,85194,1000,500,400,7,12,15
Pr Rupert,Pr Rupert,SBSdk,SBSdk/07,Sxw - Horsetail,85199,1000,500,400,4,9,15
Pr Rupert,Pr Rupert,SBSdk,SBSdk/01,Sxw - Spirea - Purple peavine,85193,1200,700,600,7,12,15
Pr Rupert,Pr Rupert,SBSdk,SBSdk/03,Pl - Feathermoss - Cladina,85195,1200,700,600,7,12,15
Pr Rupert,Pr Rupert,SBSdk,SBSdk/04,Fd - Soopolallie - Feathermoss,85196,1200,700,600,7,12,15
Pr Rupert,Pr Rupert,SBSdk,SBSdk/05,Sxw - Spirea - Feathermoss,85197,1200,700,600,7,12,15
Pr Rupert,Pr Rupert,SBSdk,SBSdk/06,Sxw - Twinberry - Coltsfoot,85198,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,SBSdk,SBSdk/08,Act - Dogwood - Prickly rose,85200,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,SBSmc2,SBSmc2/02,Pl - Huckleberry - Cladonia,85204,1000,500,400,7,12,15
Pr Rupert,Pr Rupert,SBSmc2,SBSmc2/01,Sxw - Huckleberry,85203,1200,700,600,7,12,15
Pr Rupert,Pr Rupert,SBSmc2,SBSmc2/03,SbPl - Feathermoss,85205,1200,700,600,7,12,15
Pr Rupert,Pr Rupert,SBSwk3,SBSwk3/02,Pl - Huckleberry - Cladina,85214,1000,500,400,7,12,15
Pr Rupert,Pr Rupert,SBSwk3,SBSwk3/08,Sxw - Horsetail,85220,1000,500,400,4,9,15
Pr Rupert,Pr Rupert,SBSwk3,SBSwk3/01,Sxw - Oak fern,85213,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,SBSwk3,SBSwk3/03,SxwFd - Purple peavine,85215,1200,700,600,7,12,15
Pr Rupert,Pr Rupert,SBSwk3,SBSwk3/04,Sxw - Huckleberry - Highbush-cranberry,85216,1200,700,600,7,12,15
Pr Rupert,Pr Rupert,SBSwk3,SBSwk3/05,Sb - Labrador tea,85217,1200,700,600,7,12,15
Pr Rupert,Pr Rupert,SBSwk3,SBSwk3/06,Sxw - Twinberry - Coltsfoot,85218,1200,700,600,4,9,15
Pr Rupert,Pr Rupert,SBSwk3,SBSwk3/07,Sxw - Devil's club,85219,1200,700,600,4,9,15
Vancouver,Vancouver,CDFmm,CDFmm/02,FdPl - Arbutus,84001,400,200,200,3,8,11
Vancouver,Vancouver,CDFmm,CDFmm/10,Pl - Sphagnum,84008,400,200,200,3,8,11
Vancouver,Vancouver,CDFmm,CDFmm/03,Fd - Oniongrass,84002,800,400,400,6,11,14
Vancouver,Vancouver,CDFmm,CDFmm/11,Cw - Skunk cabbage,84009,800,400,400,3,8,11
Vancouver,Vancouver,CDFmm,CDFmm/14,Cw - Slough sedge,84012,800,400,400,3,8,11
Vancouver,Vancouver,CDFmm,CDFmm/01,Fd - Salal,84000,900,500,400,3,8,11
Vancouver,Vancouver,CDFmm,CDFmm/04,FdBg - Oregon-grape,84003,900,500,400,3,8,11
Vancouver,Vancouver,CDFmm,CDFmm/05,CwFd - Kindbergia,84004,900,500,400,3,8,11
Vancouver,Vancouver,CDFmm,CDFmm/06,CwBg - Foamflower,84005,900,500,400,3,8,11
Vancouver,Vancouver,CDFmm,CDFmm/07,Cw - Snowberry,84006,900,500,400,3,8,11
Vancouver,Vancouver,CDFmm,CDFmm/08,Act - Red-osier dogwood,84007,900,500,400,3,8,11
Vancouver,Vancouver,CDFmm,CDFmm/12,Cw - Vanilla leaf,84010,900,500,400,3,8,11
Vancouver,Vancouver,CDFmm,CDFmm/13,Cw - Indian plum,84011,900,500,400,3,8,11
Vancouver,Vancouver,CWHdm,CWHdm/02,FdPl - Cladina,84014,400,200,200,3,8,11
Vancouver,Vancouver,CWHdm,CWHdm/11,Pl - Sphagnum,84022,400,200,200,3,8,11
Vancouver,Vancouver,CWHdm,CWHdm/03,FdHw - Salal,84015,800,400,400,3,8,11
Vancouver,Vancouver,CWHdm,CWHdm/12,CwSs - Skunk cabbage,84023,800,400,400,3,8,11
Vancouver,Vancouver,CWHdm,CWHdm/15,Cw - Slough sedge,84026,800,400,400,3,8,11
Vancouver,Vancouver,CWHdm,CWHdm/01,Hw - Flat moss,84013,900,500,400,3,8,11
Vancouver,Vancouver,CWHdm,CWHdm/04,Fd - Sword fern,84016,900,500,400,3,8,11
Vancouver,Vancouver,CWHdm,CWHdm/05,Cw - Sword fern,84017,900,500,400,3,8,11
Vancouver,Vancouver,CWHdm,CWHdm/06,HwCw - Deer fern,84018,900,500,400,6,11,14
Vancouver,Vancouver,CWHdm,CWHdm/07,Cw - Foamflower,84019,900,500,400,3,8,11
Vancouver,Vancouver,CWHdm,CWHdm/08,Ss -Salmonberry,84020,900,500,400,3,8,11
Vancouver,Vancouver,CWHdm,CWHdm/09,Act - Red-osier dogwood,84021,900,500,400,3,8,11
Vancouver,Vancouver,CWHdm,CWHdm/13,Cw - Salmonberry,84024,900,500,400,3,8,11
Vancouver,Vancouver,CWHdm,CWHdm/14,Cw - Black twinberry,84025,900,500,400,3,8,11
Vancouver,Vancouver,CWHds1,CWHds1/02,FdPl - Kinnikinnick,84028,400,200,200,3,8,11
Vancouver,Vancouver,CWHds1,CWHds1/11,Pl - Sphagnum,84036,400,200,200,3,8,11
Vancouver,Vancouver,CWHds1,CWHds1/03,FdHw - Falsebox,84029,800,400,400,3,8,11
Vancouver,Vancouver,CWHds1,CWHds1/04,Fd - Fairybells,84030,800,400,400,3,8,11
Vancouver,Vancouver,CWHds1,CWHds1/12,CwSs - Skunk cabbage,84037,800,400,400,3,8,11
Vancouver,Vancouver,CWHds1,CWHds1/01,HwFd - Cat's-tail moss,84027,900,500,400,3,8,11
Vancouver,Vancouver,CWHds1,CWHds1/05,Cw - Solomon's-seal,84031,900,500,400,3,8,11
Vancouver,Vancouver,CWHds1,CWHds1/06,Hw - Queen's cup,84032,900,500,400,6,11,14
Vancouver,Vancouver,CWHds1,CWHds1/07,Cw - Devil's club,84033,900,500,400,3,8,11
Vancouver,Vancouver,CWHds1,CWHds1/08,Ss - Salmonberry,84034,900,500,400,3,8,11
Vancouver,Vancouver,CWHds1,CWHds1/09,Act - Red-osier dogwood,84035,900,500,400,3,8,11
Vancouver,Vancouver,CWHds2,CWHds2/02,FdPl - Kinnikinnick,84039,400,200,200,3,8,11
Vancouver,Vancouver,CWHds2,CWHds2/11,Pl - Sphagnum,84047,400,200,200,3,8,11
Vancouver,Vancouver,CWHds2,CWHds2/03,FdHw - Falsebox,84040,800,400,400,3,8,11
Vancouver,Vancouver,CWHds2,CWHds2/04,Fd - Fairybells,84041,800,400,400,3,8,11
Vancouver,Vancouver,CWHds2,CWHds2/12,CwSs - Skunk cabbage,84048,800,400,400,3,8,11
Vancouver,Vancouver,CWHds2,CWHds2/01,HwFd - Cat's-tail moss,84038,900,500,400,3,8,11
Vancouver,Vancouver,CWHds2,CWHds2/05,Cw - Solomon's-seal,84042,900,500,400,3,8,11
Vancouver,Vancouver,CWHds2,CWHds2/06,Hw - Queen's cup,84043,900,500,400,6,11,14
Vancouver,Vancouver,CWHds2,CWHds2/07,Cw - Devil's club,84044,900,500,400,3,8,11
Vancouver,Vancouver,CWHds2,CWHds2/08,Ss - Salmonberry,84045,900,500,400,3,8,11
Vancouver,Vancouver,CWHds2,CWHds2/09,Act - Red-osier dogwood,84046,900,500,400,3,8,11
Vancouver,Vancouver,CWHmm1,CWHmm1/11,Pl - Sphagnum,84058,400,200,200,3,8,11
Vancouver,Vancouver,CWHmm1,CWHmm1/02,FdHw - Salal,84050,800,400,400,6,11,14
Vancouver,Vancouver,CWHmm1,CWHmm1/03,HwCw - Salal,84051,800,400,400,3,8,11
Vancouver,Vancouver,CWHmm1,CWHmm1/12,CwSs - Skunk cabbage,84059,800,400,400,3,8,11
Vancouver,Vancouver,CWHmm1,CWHmm1/01,HwBa - Pipecleaner moss,84049,900,500,400,6,11,14
Vancouver,Vancouver,CWHmm1,CWHmm1/04,CwHw - Sword fern,84052,900,500,400,3,8,11
Vancouver,Vancouver,CWHmm1,CWHmm1/05,BaCw - Foamflower,84053,900,500,400,3,8,11
Vancouver,Vancouver,CWHmm1,CWHmm1/06,HwBa - Deer fern,84054,900,500,400,6,11,14
Vancouver,Vancouver,CWHmm1,CWHmm1/07,BaCw - Salmonberry,84055,900,500,400,3,8,11
Vancouver,Vancouver,CWHmm1,CWHmm1/08,Ss - Salmonberry,84056,900,500,400,3,8,11
Vancouver,Vancouver,CWHmm1,CWHmm1/09,Act - Red-osier dogwood,84057,900,500,400,3,8,11
Vancouver,Vancouver,CWHmm2,CWHmm2/09,Pl - Sphagnum,84068,400,200,200,3,8,11
Vancouver,Vancouver,CWHmm2,CWHmm2/02,FdHw - Salal,84061,800,400,400,6,11,14
Vancouver,Vancouver,CWHmm2,CWHmm2/03,HwCw - Salal,84062,800,400,400,3,8,11
Vancouver,Vancouver,CWHmm2,CWHmm2/07,CwYc - Goldthread,84066,800,400,400,3,8,11
Vancouver,Vancouver,CWHmm2,CWHmm2/10,CwYc - Skunk cabbage,84069,800,400,400,3,8,11
Vancouver,Vancouver,CWHmm2,CWHmm2/01,HwBa - Pipecleaner moss,84060,900,500,400,6,11,14
Vancouver,Vancouver,CWHmm2,CWHmm2/04,CwHw - Sword fern,84063,900,500,400,3,8,11
Vancouver,Vancouver,CWHmm2,CWHmm2/05,BaCw - Foamflower,84064,900,500,400,3,8,11
Vancouver,Vancouver,CWHmm2,CWHmm2/06,HwBa - Deer fern,84065,900,500,400,6,11,14
Vancouver,Vancouver,CWHmm2,CWHmm2/08,BaCw - Salmonberry,84067,900,500,400,3,8,11
Vancouver,Vancouver,CWHms1,CWHms1/02,FdPl - Kinnikinnick,84071,400,200,200,3,8,11
Vancouver,Vancouver,CWHms1,CWHms1/10,Pl - Sphagnum,84078,400,200,200,3,8,11
Vancouver,Vancouver,CWHms1,CWHms1/03,FdHw - Falsebox,84072,800,400,400,3,8,11
Vancouver,Vancouver,CWHms1,CWHms1/11,CwSs - Skunk cabbage,84079,800,400,400,3,8,11
Vancouver,Vancouver,CWHms1,CWHms1/01,HwBa - Step moss,84070,900,500,400,3,8,11
Vancouver,Vancouver,CWHms1,CWHms1/04,BaCw - Oak fern,84073,900,500,400,3,8,11
Vancouver,Vancouver,CWHms1,CWHms1/05,HwBa - Queen's cup,84074,900,500,400,6,11,14
Vancouver,Vancouver,CWHms1,CWHms1/06,BaCw - Devil's club,84075,900,500,400,3,8,11
Vancouver,Vancouver,CWHms1,CWHms1/07,Ss - Salmonberry,84076,900,500,400,3,8,11
Vancouver,Vancouver,CWHms1,CWHms1/08,Act - Red-osier dogwood,84077,900,500,400,3,8,11
Vancouver,Vancouver,CWHms2,CWHms2/02,FdPl - Kinnikinnick,84081,400,200,200,3,8,11
Vancouver,Vancouver,CWHms2,CWHms2/10,Pl - Sphagnum,84088,400,200,200,3,8,11
Vancouver,Vancouver,CWHms2,CWHms2/03,FdHw - Falsebox,84082,800,400,400,3,8,11
Vancouver,Vancouver,CWHms2,CWHms2/11,CwSs - Skunk cabbage,84089,800,400,400,3,8,11
Vancouver,Vancouver,CWHms2,CWHms2/01,HwBa - Step moss,84080,900,500,400,3,8,11
Vancouver,Vancouver,CWHms2,CWHms2/04,BaCw - Oak fern,84083,900,500,400,3,8,11
Vancouver,Vancouver,CWHms2,CWHms2/05,HwBa - Queen's cup,84084,900,500,400,6,11,14
Vancouver,Vancouver,CWHms2,CWHms2/06,BaCw - Devil's club,84085,900,500,400,3,8,11
Vancouver,Vancouver,CWHms2,CWHms2/07,Ss - Salmonberry,84086,900,500,400,3,8,11
Vancouver,Vancouver,CWHms2,CWHms2/08,Act - Red-osier dogwood,84087,900,500,400,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/02,PlYc - Rhacomitrium,84091,400,200,200,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/12,PlYc - Sphagnum,84100,400,200,200,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/14,Ss - Salal,84102,400,200,200,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/16,Ss - Reedgrass,84104,400,200,200,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/18,Ss - Slough sedge,84106,400,200,200,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/19,Ss - Pacific crab apple,84107,400,200,200,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/03,CwYc - Salal,84092,800,400,400,6,11,14
Vancouver,Vancouver,CWHvh1,CWHvh1/11,CwYc - Goldthread,84099,800,400,400,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/13,CwSs - Skunk cabbage,84101,800,400,400,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/01,CwHw - Salal,84090,900,500,400,6,11,14
Vancouver,Vancouver,CWHvh1,CWHvh1/04,HwSs - Lanky moss,84093,900,500,400,6,11,14
Vancouver,Vancouver,CWHvh1,CWHvh1/05,CwSs - Sword fern,84094,900,500,400,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/06,CwSs - Foamflower,84095,900,500,400,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/07,CwSs - Devil's club,84096,900,500,400,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/08,Ss - Lily-of-the-valley,84097,900,500,400,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/09,Ss - Trisetum,84098,900,500,400,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/15,Ss - Kindbergia,84103,900,500,400,3,8,11
Vancouver,Vancouver,CWHvh1,CWHvh1/17,Ss - Sword fern,84105,900,500,400,3,8,11
Vancouver,Vancouver,CWHvh2,CWHvh2/02,PlYc - Rhacomitrium,84109,400,200,200,3,8,11
Vancouver,Vancouver,CWHvh2,CWHvh2/12,PlYc - Sphagnum,84118,400,200,200,3,8,11
Vancouver,Vancouver,CWHvh2,CWHvh2/14,Ss - Salal,84120,400,200,200,3,8,11
Vancouver,Vancouver,CWHvh2,CWHvh2/16,Ss - Reedgrass,84122,400,200,200,3,8,11
Vancouver,Vancouver,CWHvh2,CWHvh2/18,Ss - Slough sedge,84124,400,200,200,3,8,11
Vancouver,Vancouver,CWHvh2,CWHvh2/03,CwYc - Salal,84110,800,400,400,6,11,14
Vancouver,Vancouver,CWHvh2,CWHvh2/11,CwYc - Goldthread,84117,800,400,400,3,8,11
Vancouver,Vancouver,CWHvh2,CWHvh2/13,CwSs - Skunk cabbage,84119,800,400,400,3,8,11
Vancouver,Vancouver,CWHvh2,CWHvh2/01,CwHw - Salal,84108,900,500,400,6,11,14
Vancouver,Vancouver,CWHvh2,CWHvh2/04,HwSs - Lanky moss,84111,900,500,400,6,11,14
Vancouver,Vancouver,CWHvh2,CWHvh2/05,CwSs - Sword fern,84112,900,500,400,3,8,11
Vancouver,Vancouver,CWHvh2,CWHvh2/06,CwSs - Foamflower,84113,900,500,400,3,8,11
Vancouver,Vancouver,CWHvh2,CWHvh2/07,CwSs - Devil's club,84114,900,500,400,3,8,11
Vancouver,Vancouver,CWHvh2,CWHvh2/08,Ss - Lily-of-the-valley,84115,900,500,400,3,8,11
Vancouver,Vancouver,CWHvh2,CWHvh2/09,Ss - Trisetum,84116,900,500,400,3,8,11
Vancouver,Vancouver,CWHvh2,CWHvh2/15,Ss - Kindbergia,84121,900,500,400,3,8,11
Vancouver,Vancouver,CWHvh2,CWHvh2/17,Ss - Sword fern,84123,900,500,400,3,8,11
Vancouver,Vancouver,CWHvm1,CWHvm1/02,HwPl - Cladina,84126,400,200,200,3,8,11
Vancouver,Vancouver,CWHvm1,CWHvm1/13,Pl - Sphagnum,84136,400,200,200,3,8,11
Vancouver,Vancouver,CWHvm1,CWHvm1/03,HwCw - Salal,84127,800,400,400,6,11,14
Vancouver,Vancouver,CWHvm1,CWHvm1/12,CwYc - Goldthread,84135,800,400,400,3,8,11
Vancouver,Vancouver,CWHvm1,CWHvm1/14,CwSs - Skunk cabbage,84137,800,400,400,3,8,11
Vancouver,Vancouver,CWHvm1,CWHvm1/01,HwBa - Blueberry,84125,900,500,400,6,11,14
Vancouver,Vancouver,CWHvm1,CWHvm1/04,CwHw - Sword fern,84128,900,500,400,3,8,11
Vancouver,Vancouver,CWHvm1,CWHvm1/05,BaCw - Foamflower,84129,900,500,400,3,8,11
Vancouver,Vancouver,CWHvm1,CWHvm1/06,HwBa - Deer fern,84130,900,500,400,6,11,14
Vancouver,Vancouver,CWHvm1,CWHvm1/07,BaCw - Salmonberry,84131,900,500,400,3,8,11
Vancouver,Vancouver,CWHvm1,CWHvm1/08,BaSs - Devil's club,84132,900,500,400,3,8,11
Vancouver,Vancouver,CWHvm1,CWHvm1/09,Ss - Salmonberry,84133,900,500,400,3,8,11
Vancouver,Vancouver,CWHvm1,CWHvm1/10,Act - Red-osier dogwood,84134,900,500,400,3,8,11
Vancouver,Vancouver,CWHvm2,CWHvm2/02,HwPl - Cladina,84139,400,200,200,3,8,11
Vancouver,Vancouver,CWHvm2,CWHvm2/10,Pl - Sphagnum,84147,400,200,200,3,8,11
Vancouver,Vancouver,CWHvm2,CWHvm2/03,HwCw - Salal,84140,800,400,400,6,11,14
Vancouver,Vancouver,CWHvm2,CWHvm2/09,CwYc - Goldthread,84146,800,400,400,3,8,11
Vancouver,Vancouver,CWHvm2,CWHvm2/11,CwYc - Skunk cabbage,84148,800,400,400,3,8,11
Vancouver,Vancouver,CWHvm2,CWHvm2/01,HwBa - Blueberry,84138,900,500,400,6,11,14
Vancouver,Vancouver,CWHvm2,CWHvm2/04,CwHw - Sword fern,84141,900,500,400,6,11,14
Vancouver,Vancouver,CWHvm2,CWHvm2/05,BaCw - Foamflower,84142,900,500,400,3,8,11
Vancouver,Vancouver,CWHvm2,CWHvm2/06,HwBa - Deer fern,84143,900,500,400,6,11,14
Vancouver,Vancouver,CWHvm2,CWHvm2/07,BaCw - Salmonberry,84144,900,500,400,3,8,11
Vancouver,Vancouver,CWHvm2,CWHvm2/08,BaSs - Devil's club,84145,900,500,400,3,8,11
Vancouver,Vancouver,CWHwh1,CWHwh1/11,PlYc - Sphagnum,84158,400,200,200,3,8,11
Vancouver,Vancouver,CWHwh1,CWHwh1/13,Ss - Salal,84160,400,200,200,3,8,11
Vancouver,Vancouver,CWHwh1,CWHwh1/15,Ss - Reedgrass,84162,400,200,200,3,8,11
Vancouver,Vancouver,CWHwh1,CWHwh1/17,Ss - Slough sedge,84164,400,200,200,3,8,11
Vancouver,Vancouver,CWHwh1,CWHwh1/18,Ss - Pacific crab apple,84165,400,200,200,3,8,11
